variable,value
Amenity land,0.01
Coast,0
Developed land,4.6000000000000005
Lowland (open),41.46
Lowland (wooded),66.82000000000001
Upland (moorland),133.45
Upland (open),76.88
Upland (wooded),65.86
Water (inland),0.18
Total_Km2,389.26
